user_input,reference_contexts,reference,synthesizer_name
What is the goal of the deepseek-ai team in their open-source initiative?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","The goal of the deepseek-ai team is to share their small-but-sincere progress in AGI exploration by open-sourcing five repositories, one daily drop, to create collective momentum that accelerates their journey in community-driven innovation.",single_hop_specifc_query_synthesizer
Wht is deepseek-ai doing for open-sorce?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","Deepseek-ai is a tiny team pushing limits in AGI exploration by open-sourcing 5 repositories, one daily drop, to share their small-but-sincere progress with full transparency. They aim to create collective momentum that accelerates the journey of innovation.",single_hop_specifc_query_synthesizer
Can you elaborate on the features and capabilities of DeepGEMM as introduced in the recent open-source initiative?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","DeepGEMM is an FP8 GEMM library that supports both dense and MoE GEMMs, specifically designed to power V3/R1 training and inference. It boasts impressive performance, achieving up to 1350+ FP8 TFLOPS on Hopper GPUs. The library is designed to have no heavy dependencies, making it as clean as a tutorial, and it is fully Just-In-Time compiled. Remarkably, the core logic consists of approximately 300 lines of code, yet it outperforms expert-tuned kernels across most matrix sizes. Additionally, DeepGEMM supports both dense layout and two MoE layouts, making it a versatile tool for developers.",single_hop_specifc_query_synthesizer
Wht is the significance of Open-Source Week in the context of AI development?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","Open-Source Week is significant as it marks the beginning of a series of daily releases of open-source repositories by the team at @deepseek-ai, aimed at sharing their progress in AGI exploration. This initiative emphasizes transparency and community-driven innovation, allowing developers to contribute to and benefit from the shared code, which serves as building blocks for their online service.",single_hop_specifc_query_synthesizer
What is DeepEP in the context of open-source AI development?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","DeepEP is the first open-source EP communication library for MoE model training and inference, featuring efficient and optimized all-to-all communication, support for both intranode and internode communication with NVLink and RDMA, high-throughput kernels for training and inference prefilling, low-latency kernels for inference decoding, native FP8 dispatch support, and flexible GPU resource control for computation-communication overlapping.",single_hop_specifc_query_synthesizer
Can you explain the significance of DeepGEMM in the context of open-source AI development?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","DeepGEMM is an FP8 GEMM library that supports both dense and MoE GEMMs, which is crucial for powering V3/R1 training and inference. It boasts impressive performance, achieving up to 1350+ FP8 TFLOPS on Hopper GPUs, and is designed to be lightweight with no heavy dependencies. The library is fully Just-In-Time compiled and features core logic that is approximately 300 lines long, yet it outperforms expert-tuned kernels across most matrix sizes. This makes DeepGEMM a significant contribution to the open-source AI community, enhancing efficiency and accessibility in AI model training.",single_hop_specifc_query_synthesizer
What is the significance of Hopper GPUs in the context of the open-source projects mentioned?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","Hopper GPUs are significant in the context of the open-source projects as they are utilized in the development of efficient libraries like FlashMLA and DeepGEMM, which are optimized for high performance, such as achieving up to 1350+ FP8 TFLOPS.",single_hop_specifc_query_synthesizer
What is the role of MoE in the context of DeepEP?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","DeepEP is the first open-source EP communication library for MoE model training and inference, providing efficient and optimized all-to-all communication with both intranode and internode support.",single_hop_specifc_query_synthesizer
What is the significance of MoE in the context of DeepEP?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","DeepEP is introduced as the first open-source EP communication library specifically designed for MoE model training and inference, highlighting its efficient and optimized all-to-all communication capabilities.",single_hop_specifc_query_synthesizer
What is the significance of MoE in the context of DeepEP?,"[""# 202502 Open-Source Week\n\nWe're a tiny team @deepseek-ai pushing our limits in AGI exploration.\n\nStarting this week , Feb 24, 2025 we'll open-source 5 repos – one daily drop – not because we've made grand claims, but simply as developers sharing our small-but-sincere progress with full transparency.\n\nThese are humble building blocks of our online service: documented, deployed and battle-tested in production. No vaporware, just sincere code that moved our tiny yet ambitious dream forward.\n\nWhy? Because every line shared becomes collective momentum that accelerates the journey. Daily unlocks begin soon. No ivory towers - just pure garage-energy and community-driven innovation 🔧\n\nStay tuned – let's geek out in the open together.\n\n## Day 1 - FlashMLA\n\nEfficient MLA Decoding Kernel for Hopper GPUs\nOptimized for variable-length sequences, battle-tested in production\n\n🔗 FlashMLA GitHub Repo\n✅ BF16 support\n✅ Paged KV cache (block size 64)\n⚡ Performance: 3000 GB/s memory-bound | BF16 580 TFLOPS compute-bound on H800\n\n## Day 2 - DeepEP\n\nExcited to introduce DeepEP - the first open-source EP communication library for MoE model training and inference.\n\n🔗 DeepEP GitHub Repo\n✅ Efficient and optimized all-to-all communication\n✅ Both intranode and internode support with NVLink and RDMA\n✅ High-throughput kernels for training and inference prefilling\n✅ Low-latency kernels for inference decoding\n✅ Native FP8 dispatch support\n✅ Flexible GPU resource control for computation-communication overlapping\n\n## Day 3 - DeepGEMM\n\nIntroducing DeepGEMM - an FP8 GEMM library that supports both dense and MoE GEMMs, powering V3/R1 training and inference.\n\n🔗 DeepGEMM GitHub Repo\n⚡ Up to 1350+ FP8 TFLOPS on Hopper GPUs\n✅ No heavy dependency, as clean as a tutorial\n✅ Fully Just-In-Time compiled\n✅ Core logic at ~300 lines - yet outperforms expert-tuned kernels across most matrix sizes\n✅ Supports dense layout and two MoE layouts\n\n## Day 4 - Optimized Parallelism Strategies\n\n✅ DualPipe - a bidirectional p""]","DeepEP is introduced as the first open-source EP communication library specifically designed for MoE model training and inference, highlighting its efficient and optimized all-to-all communication capabilities.",single_hop_specifc_query_synthesizer
